country,population,GDP_PPP,life_expectancy,age,nominalGDP
Khmer Republic,7500000.0,,,49.0,
Togo,6816982.0,10667203302.42,60.232,59.0,4812554346.14923
Indonesia,249865631.0,2848027523590.4,69.191,74.0,1015539017536.5
South Yemen,,,,52.0,
Commonwealth realm of the Gambia,400865.0,,,,
Zimbabwe,14149648.0,27875623136.72,61.163,39.0,17845821400.0
Gabrielle Haller,,,,,
Montenegro,620029.0,9985754174.35,77.116,13.0,4774086094.2078
Tunisia,11304500.0,129045249574.73,75.731,63.0,40256675208.7294
Member states of the United Nations,,,,,
San Marino,31595.0,,85.41707,,1658778453.9103
Czechoslovakia,15700000.0,,,101.0,
Philippines,100981437.0,743898412333.4,69.094,454.0,313595208737.269
Ukrainian Soviet Socialist Republic,51706746.0,,,100.0,
Cuba,11265629.0,,79.742,121.0,87132800000.0
Mexico,112336538.0,2157817248941.49,77.118,209.0,1149918794765.73
Portugal,10600000.0,307818132721.61,81.12683,876.0,217571083045.99
Uruguay,3407062.0,72899109557.05,77.493,194.0,56156972157.6958
Belgium,11150516.0,514744861031.14,80.99268,189.0,492681283049.248
Kingdom of the Netherlands,17100715.0,,,204.0,
United Kingdom,65102385.0,2722454741181.93,80.9561,92.0,2622433959604.16
Democratic Republic of the Congo,67513677.0,60605402500.544,59.621,59.0,37241300948.659
Sierra Leone,6092075.0,10127102610.12,51.835,58.0,3774270392.41231
Byelorussian Soviet Socialist Republic,10300000.0,,,99.0,
Monaco,37831.0,,,722.0,6074884388.58937
Slovenia,2066880.0,66013339414.93,80.77561,28.0,48769655479.2388
Cyprus,1141166.0,26734859568.14,80.508,59.0,21651791751.1832
Andorra,79218.0,,,741.0,3012914131.16971
Czech Republic,10610055.0,356145431593.263,78.33171,26.0,215725534372.371
Equatorial Guinea,757014.0,34409854212.62,57.681,51.0,12486753871.278
Gambia,1849285.0,3344123959.37,61.193,54.0,1014621519.85866
Norway,5258317.0,322230084770.82,82.50976,114.0,398831956477.937
Ireland,4761865.0,318161081932.19,81.60732,82.0,333730764773.18
Seychelles,92000.0,2538864425.33,74.30976,43.0,1485994387.49716
Burundi,10162532.0,8128761231.03,57.481,57.0,3477502178.27657
Cape Verde,498897.0,3412668610.26,72.798,44.0,1753736711.67273
Niger,17831270.0,19013277316.61,60.058,59.0,8119732792.52478
Japan,127110047.0,5175259447160.43,83.98488,72.0,4872136945507.59
Sudan,40235000.0,176546493705.309,64.486,63.0,117487857142.857
Nigeria,182202000.0,1093920550596.63,53.428,59.0,375770713742.763
Malta,423374.0,14681635793.48,81.79756,55.0,12537750732.4769
Ethiopia,96958732.0,161899891796.87,65.475,78.0,80561496133.9172
Ukraine,42558328.0,352978000000.0,71.47634,28.0,112154185121.406
Russia,146804372.0,3687406315413.07,71.59293,28.0,1577524145963.17
Hungary,9778371.0,260422734756.55,75.56829,1019.0,139135029758.29
Bosnia and Herzegovina,3531159.0,41349562291.45,76.911,27.0,18168579578.1952
Republic of the Congo,4447632.0,29482728886.53,64.625,59.0,8722553000.83526
Djibouti,872932.0,3099860267.0,62.465,42.0,1844674434.50371
Guinea-Bissau,1704255.0,2684975037.48,57.403,45.0,1346933490.23577
Soviet Union,293047571.0,,,97.0,
North Macedonia,2107158.0,29257308598.29,75.703,28.0,11337827331.6809
Slovakia,5426252.0,162341127270.25,76.56341,26.0,95769031980.1362
Bulgaria,7265115.0,130989578170.49,74.61463,1338.0,56831518294.4397
Malawi,16362567.0,20376038710.56,63.223,55.0,6303277590.80083
Lesotho,2074465.0,6297275970.44,54.174,53.0,2639386291.42767
Mauritania,3889880.0,,63.238,59.0,5024705934.33687
Kazakhstan,17948816.0,439390495449.362,72.3,28.0,159406926359.122
Botswana,2021144.0,35836184071.08,66.797,53.0,17406530780.7155
Canada,35702707.0,1586725368202.75,82.30051,152.0,1653042795255.04
São Tomé and Príncipe,192993.0,612636173.37,66.624,44.0,390871568.630082
Rwanda,11776522.0,20459878389.9,67.129,57.0,9136689514.09479
Egypt,94798827.0,998667359007.86,71.484,66.0,235369129337.711
Lithuania,2810118.0,84057074924.94,74.32195,101.0,47168303744.1329
People's Republic of China,1409517397.0,19815111099767.4,76.252,70.0,12237700479375.0
Latvia,1953000.0,49238809758.38,74.52927,101.0,30264454641.8004
Turkey,76223639.0,1574017857488.33,75.755,96.0,851102411118.116
Uganda,37578876.0,72248644688.27,59.889,57.0,25891058946.1936
German Democratic Republic,16111000.0,,,70.0,
Georgia,3729500.0,35682235302.23,73.261,28.0,15159281211.3967
Senegal,14133280.0,36624866572.44,67.146,59.0,16374743753.4731
Libya,6201521.0,69322560014.4654,71.934,68.0,50984362478.4973
United States of America,325145963.0,18036648000000.0,78.69024,243.0,19390604000000.0
Spain,46528024.0,1773972350000.0,82.83171,540.0,1311320015515.99
Iceland,348580.0,15785577895.0,82.46829,101.0,23909289978.5861
Germany,82521653.0,3924035073872.76,80.8,70.0,3677439129776.6
Albania,3020209.0,33165000680.49,78.345,107.0,13039352743.9616
Eritrea,6333135.0,,65.092,26.0,2607739837.39837
Ghana,28308301.0,115409307649.2,62.742,62.0,47330016342.5734
